"Okres / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Celkem";3359151;2400046
"Benešov";33942;23344
"Beroun";34116;18902
"Blansko";34591;26691
"Brno-město";138810;64594
"Brno-venkov";78316;49348
"Bruntál";18877;28729
"Břeclav";34981;29898
"Česká Lípa";25381;26760
"České Budějovice";67476;40904
"Český Krumlov";19081;14137
"Děčín";28640;36425
"Domažlice";14563;14159
"Frýdek-Místek";60182;56933
"Havlíčkův Brod";30574;24420
"Hodonín";44320;40666
"Hradec Králové";57583;35977
"Cheb";20745;21744
"Chomutov";26451;33165
"Chrudim";32630;27289
"Jablonec nad Nisou";32469;19609
"Jeseník";8920;11045
"Jičín";25617;20469
"Jihlava";37532;25437
"Jindřichův Hradec";27988;22893
"Karlovy Vary";30566;27099
"Karviná";47168;75961
"Kladno";51289;34785
"Klatovy";26515;23145
"Kolín";32740;23113
"Kroměříž";29009;28929
"Kutná Hora";23160;18780
"Liberec";54540;37665
"Litoměřice";34577;30274
"Louny";19090;26980
"Mělník";35587;22833
"Mladá Boleslav";40561;26637
"Most";21103;30653
"Náchod";36755;23972
"Nový Jičín";42330;39658
"Nymburk";34334;21611
"Olomouc";74069;55681
"Opava";49233;50250
"Ostrava-město";78241;83259
"Pardubice";57076;37208
"Pelhřimov";24098;17731
"Písek";22724;16548
"Plzeň-jih";19955;18225
"Plzeň-město";61902;35317
"Plzeň-sever";25480;19679
"Praha";502438;155501
"Praha-východ";74903;27522
"Praha-západ";63281;20056
"Prachatice";16036;12458
"Prostějov";29902;29558
"Přerov";33036;37210
"Příbram";39766;26062
"Rakovník";16585;14334
"Rokycany";14228;12958
"Rychnov nad Kněžnou";26731;18911
"Semily";28780;14851
"Sokolov";18571;23865
"Strakonice";21019;17629
"Svitavy";32299;26014
"Šumperk";33961;33946
"Tábor";34790;23313
"Tachov";11804;15196
"Teplice";26908;35450
"Trutnov";43364;26259
"Třebíč";34448;29724
"Uherské Hradiště";45299;34774
"Ústí nad Labem";28974;29270
"Ústí nad Orlicí";47046;31467
"Vsetín";45629;33111
"Vyškov";28127;23483
"Zlín";63739;44349
"Znojmo";28122;34508
"Žďár nad Sázavou";41643;27639
"Zahraničí";21835;1097